episode,collision_0,collision_1,collision_2,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2
1,1,1,0,-2275.118770019155,-2205.580608465377,-1558.4329527766351,0.06255151,0.08744086,0.08719716
2,0,0,0,-1659.3918556155757,-2784.894904999751,-2943.587342889882,0.10361083,0.09178864,0.04915454
3,0,0,0,-1405.8917541652397,-1921.2235657307424,-1561.5541454562651,0.068900384,-0.0137994625,0.020610208
4,0,0,0,-2305.675076974604,-2867.758834876298,-1362.2440298666347,0.04715049,0.025984235,0.062461663
5,0,0,0,-774.6754013465733,-1165.8222789563972,-1105.7885401045014,0.043636426,-0.008070898,0.15636392
6,0,0,0,-1550.5513789798924,-2313.5298361464966,-2253.710212528969,0.068878785,0.052714538,0.05302398
7,0,0,0,-2030.258162227387,-2449.0158174989583,-1583.7249496575796,0.08583559,0.029072328,0.17040834
8,0,0,0,-750.9656082096875,-1662.0835429713402,-1311.453038060903,0.004942088,0.057841614,0.056491714
9,0,0,0,-714.2369283995439,-1867.653625584826,-1455.0325744071465,-0.04340252,0.033704363,0.031865202
10,3,3,0,-29.332348909013724,-1759.767882973499,-907.1887505435833,-0.0056125997,0.04745391,0.1582292
11,0,0,0,-836.2243641177304,-2495.3266027167074,-1068.6312985605243,0.006112263,-0.045158733,-0.034773063
12,0,0,0,-0.824443002057981,-1390.3808219441723,-796.7888610732127,0.07446012,-0.0032014227,0.0254214
13,1,0,1,-175.75151604226176,-2306.496457105628,-1618.0936199899973,0.008262279,-0.011001606,0.058454417
14,1,1,0,-4.35148084962373,-459.0686592194334,-57.28664630079095,-0.02653989,0.053706966,0.009470291
15,1,1,0,-298.349123181794,-1126.9224520993619,-417.65214699123777,0.04626652,-0.05244725,0.055569507
16,1,0,1,10,-802.7818794059335,-64.18633173367154,-0.01578135,0.058474895,-0.05428016
17,2,1,1,6.6942462487614725,-10,-95.6395555833943,-0.013926754,-0.015742315,-0.047970533
18,3,3,0,30,-99.73372970349497,-35.46235620154474,-0.032610614,0.012738705,-0.0001660791
19,7,4,3,20.007548466694487,-58.24056841152542,-797.3358703708577,0.065683655,0.09367993,-0.0009222388
20,3,2,1,2.741992368897143,-34.391959718120056,-203.12230911458585,-0.08084569,-0.010298781,0.008137933
21,1,1,0,-46.84994262476997,-248.56362079472513,-139.09170964529514,-0.04683278,-0.03431266,-0.015842393
22,10,9,1,100,-144.74258867728324,-22.097669166518756,-0.022926373,-0.013929836,0.0036405849
23,7,2,5,63.34903390087263,-31.11208387243861,-50,0.026922088,-0.06538092,-0.008830793
24,8,2,6,80,-20,-64.72781639873418,-0.010121136,-0.030469026,-0.0023626136
25,7,4,3,70,-52.67779438682738,-60.39677627653347,0.01707639,-0.014971789,-0.01902452
26,4,1,3,40,-40.50670774225491,-46.65370698002309,0.016307117,-0.048188977,0.074814446
27,7,1,6,70,-37.144066227551555,-60.81912928207063,0.06561818,0.016831366,-0.018432586
28,13,6,7,130,-65.31921901346041,-129.6277281712757,-0.01505621,-0.065322965,-0.0032896923
29,13,6,7,130,-98.7931078332797,-72.63297772452478,0.038572535,-0.006894697,-0.0045232405
30,14,1,13,135.65670677390233,-21.58266584668659,-224.63082942039009,0.032465983,-0.046941277,0.07084777
31,13,7,6,130,-150.45163715811174,-119.00687929101106,0.03181348,0.01657777,-0.08839979
32,14,1,13,97.83956708679094,-91.08613636909443,-170.77005731349624,-0.025024267,-0.0061693443,0.05580383
33,8,1,7,80,-161.0646776821248,-100.53388186003069,-0.010459788,-0.080066755,0.06752339
34,15,1,14,120.37335097165932,-460.46334862195283,-234.99371508822617,-0.036677916,-0.08140356,0.036607116
35,5,1,4,45.530815102360364,-281.9999290497012,-110.359526247213,0.024300458,-0.0030449533,-0.0085774055
36,12,5,7,97.11149348378012,-267.70032132525523,-167.44430892487097,0.07818003,0.07550263,-0.0372799
37,19,12,7,171.57127279646863,-217.6284663866299,-81.64350831580681,0.04525181,0.022660332,-0.0008832672
