episode,collision_0,collision_1,collision_2,collision_3,collision_4,collision_5,collision_6,collision_7,collision_8,collision_9,collision_10,collision_11,collision_12,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,reward_6,reward_7,reward_8,reward_9,reward_10,reward_11,reward_12,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11,loss_12
1,0,0,1,0,0,0,0,0,1,0,0,0,0,-28.006939412878353,-40,-20,-40,-40,-20,-2.302046333736095,-40,0,-20,-40,0,-29.216495266819912,-0.16622283,0.22941431,0.327164,-0.023961015,0.017296987,0.24579895,0.081261694,0.13139695,0.050488964,0.23032701,0.16664825,0.2947999,-0.15351352
2,0,6,0,0,0,4,0,0,0,2,0,0,0,-40,-40,-28.79963510182874,-23.99189725596444,-27.642747142112597,-20,-20,-40,-24.83693546777623,-40,-20,-7.063121986934418,-20,0.08056967,0.1212566,-0.1106451,0.012644491,0.20136528,-0.07479291,0.08328558,-0.09098843,-0.016902355,0.18137631,-0.07793993,-0.07976407,0.14387153
3,0,0,3,0,0,0,0,2,1,0,0,0,0,-20,-20,-24.344640066504265,-20,-27.3045194109026,-40,-40,-20,-20,-20,-40,-8.23863830109561,-40,-0.017525446,0.0207296,0.058925375,0.08967779,0.1255093,-0.16313466,0.007121644,-0.12700982,0.10104969,-0.051788427,-0.0798641,-0.13689484,-0.044304878
4,1,1,5,0,2,0,0,0,1,1,0,0,3,-23.235585927775467,-23.191059341354034,0,-40,-4.808914939134987,-20,-40,-31.157476702073232,-34.5067294536389,-20,-20,-20,-10.665750408070446,-0.09229829,-0.04083429,-0.10296744,-0.026454477,0.14223696,0.091940135,-0.11943491,0.12808385,0.07767417,0.053995155,0.084679395,-0.106639355,-0.045131434
5,3,0,4,1,0,4,0,0,2,0,0,0,0,-36.737802160688474,-28.671119217212855,-3.402742745384538,0,-20,-26.371338737194623,-40,-40,0,-40,-25.64044392795133,-23.23053561421327,-20,0.047704283,0.069564655,-0.107587054,-0.042924434,0.08350651,0.0045293164,-0.06859578,0.021465741,-0.10984323,-0.07678518,0.017863793,0.037402097,0.041436438
6,4,3,0,0,0,3,0,0,2,1,0,0,1,-20,-1.2089308030571466,-22.29635615579238,-40,-24.69816389218951,-3.432484135143353,-23.46599578810502,-26.37143567696186,-20,-20,-23.576360487057627,-40,-40,-0.075286396,0.0437963,-0.019964255,0.056648523,0.11054523,0.063635975,0.08152168,-0.00381289,0.15447918,-0.1503542,0.041041497,-0.03686087,-0.037155878
7,5,8,2,0,2,0,0,0,10,0,3,0,0,-38.1660257629777,-23.97380281731508,-29.195191569766653,-40,-40,-40,-38.36542687797006,-40,-3.082499601744136,0,-40,-35.9723338154398,-20,0.18352577,0.23176964,-0.040807296,-0.0015765787,-0.0826387,-0.022781486,0.095704116,0.034877665,0.1756506,-0.17890678,0.03328672,-0.14209937,0.0021267098
8,0,2,0,0,0,1,0,1,0,0,0,0,0,-20,-23.58253544639309,-25.136026598801923,-20,-40,-22.141939450504424,-24.54207862491062,-40,-20,-22.091364810490262,-20,-40,-40,0.060596284,0.09119803,-0.041553292,0.04690077,-0.14579771,-0.05934788,-0.2109507,0.14187539,0.0053084996,0.04681547,0.0239622,-0.07529576,-0.059053097
9,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,-20,-40,-39.80331852674692,-33.39870729572362,-16.472091238386035,-20,-20,-20,-31.58147550209813,-40,-20,-20,-0.14161254,0.06459675,-0.09778503,0.017806383,0.0056221653,0.11952717,0.29150012,-0.059912227,0.08442753,0.05666874,-0.17918381,-0.10753733,-0.086438
10,1,1,0,0,1,0,0,0,1,0,0,0,0,-20,-20,-25.419802761062478,-27.710041227470352,-36.53708220994942,-40,-40,-23.051753011962663,-20,-23.510500241676734,-21.191599185271365,-40,-5.5678281353309735,-0.11790273,0.050319348,0.038226657,-0.10473284,0.16681701,-0.10620082,-0.02381857,0.23200397,-0.020171657,0.091086976,0.11418185,0.0911615,-0.012425023
11,1,1,0,0,0,0,1,0,0,1,0,0,0,-40,-2.8593634034284126,-25.354772258695892,-40,-20,-25.940814389794447,-27.71139500528581,-40,-20,-20,-20,-40,-40,0.06045853,0.14985618,0.026760401,-0.22484876,0.006033613,-0.12097668,-0.028102532,0.2125507,0.21284026,0.09114069,-0.031873874,-0.0773666,-0.006922722
12,1,0,0,0,0,0,0,0,0,1,0,0,0,-20,-12.082858310308845,-35.62166831497937,-40,-24.502961546714197,-34.803436355334476,-40,-40,0,-20,-20,-20,-37.96920618760374,0.21810041,-0.0017075634,0.24427898,0.28139186,-0.096089564,0.07284337,0.08232221,-0.020655759,-0.04298231,-0.0856423,-0.05426787,-0.028918996,-0.28498116
13,0,1,7,0,0,2,0,0,0,3,2,0,1,-32.03412546818275,-20,-20,-20,-40,-22.58237584125641,-40,-40,-18.709699663836595,-20,-20,-29.81322793137862,-20,-0.005195446,0.24213627,0.108796366,0.06476653,-0.225449,-0.098829,0.15496258,-0.027270084,-0.024315333,0.21383601,0.40292275,-0.25596836,-0.19337192
14,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-23.503896582170785,-40,-22.962492941745758,-40,-40,-40,-40,-20,-20,-20,-40,-20,-0.024172582,0.31782222,-0.02275415,0.057530794,-0.2339735,-0.18618412,0.19945389,0.058755685,0.0021900462,-0.027510691,0.100995734,-0.09273042,-0.0531896
