episode,collision_0,collision_1,collision_2,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2
1,0,0,0,-40,-28.331776737331886,-40,0.013400768,0.13635287,0.036800515
2,0,0,0,-40,-20,-40,-0.017038219,0.08825192,0.05124589
3,0,0,0,-40,-40,-40,0.105136506,0.015877586,-0.076148935
4,0,0,0,-3.122184458576227,-20,-40,-0.00588701,0.026102686,0.11680971
5,0,0,0,-40,-38.97187048712054,-40,-0.007224109,0.10207746,0.06657562
6,0,0,0,-20,-20,-20,-0.023149788,0.06382167,-0.04244353
7,1,0,1,-20,-11.548974459775408,-40,-0.010127045,0.021964082,0.14819635
8,0,0,0,-40,-40,-40,0.015721817,0.03558141,0.061477527
9,0,0,0,-20,-22.564524362606686,-40,0.0499243,0.106091596,0.02239459
10,1,0,1,-2.267798178969212,-27.66482788310014,-40,-0.00856852,-0.0039040267,0.14026786
11,0,0,0,-30.173121095678496,-22.54848871194127,-20,0.08575756,-0.004687037,0.038246274
12,0,0,0,-40,-40,-26.92363175891581,-0.017161017,-0.020980496,-0.009420425
13,0,0,0,-40,-20,-40,-0.053505864,0.15165105,-0.04261826
14,0,0,0,-40,-27.2345108360914,-40,0.036627445,0.07467184,-0.05247927
15,0,0,0,-36.41908231570015,-40,-40,-0.04124629,0.008955407,0.12894131
16,2,0,2,-40,-35.76324448643595,-40,-0.021354752,0.16068357,0.014754543
17,0,0,0,-40,-39.968764572593464,-40,-0.05871529,0.20721667,-0.05960144
18,0,0,0,-27.03579621960978,-20,-40,0.06845394,0.10655569,-0.09725222
19,0,0,0,-6.662608877038642,-20,-20,0.10543882,0.05259963,-0.040914368
20,0,0,0,0,-20,-40,-0.050068904,0.025609381,0.16087036
21,0,0,0,0,-40,-40,0.03144967,-0.020364482,0.07206064
22,0,0,0,-40,-20,-40,-0.004208071,0.039239768,-0.020342441
23,1,0,1,-40,-31.347724338429792,-40,0.045319892,0.08281702,0.056288343
24,0,0,0,-4.929370862088753,-40,-40,-0.0033634955,-0.05349208,0.07075147
25,0,0,0,-40,-40,-40,0.052798014,0.084348656,-0.057938248
26,0,0,0,-20,-34.12478785858029,-40,-0.046357024,-0.060785685,-0.04759022
27,0,0,0,-40,-40,-23.948771452307806,0.0780246,0.038393103,-0.005445576
28,0,0,0,-20,-25.920760449290523,-40,0.007130072,0.011531601,0.11852854
29,0,0,0,-40,-29.44935058735694,-40,-0.019690685,-0.008493972,0.03892333
30,0,0,0,-9.91291149166958,-20,-40,0.0016067064,0.1058852,-0.025055073
31,1,0,1,-20,-20,-40,-0.0027105666,0.21379882,-0.03475085
32,0,0,0,-20,-22.02988666303935,-20,0.097074874,0.13254607,0.028142653
33,0,0,0,-20,-20,-40,-0.033137396,-0.0015440381,0.0044639553
34,0,0,0,-40,-40,-40,-0.0343532,0.10622934,-0.01846748
35,0,0,0,-20,-20,-20,0.055240348,0.054323588,-0.02985166
36,2,1,3,-10.512507874664685,-20,-20,-0.03847754,0.053279094,0.06764295
37,0,2,2,-28.768624822586453,-11.194879175216826,-40,-0.032334547,-0.012689973,0.06174942
38,0,0,0,-40,-40,-37.622094872025876,-0.045268897,0.027082963,0.029016988
39,0,0,0,-40,-20,-20,0.06464947,-0.0032956325,-0.05231063
40,0,0,0,-40,-20,-40,-0.002041869,-0.020991886,0.033591934
41,0,0,0,-40,-40,-40,-0.07273774,-0.046335965,0.04948382
42,0,0,0,-20,-25.28138155494488,-40,-0.04132805,-0.04555549,0.2502411
43,0,0,0,-40,-20,-25.268614655272458,0.064300425,0.020706672,-0.032931913
44,0,0,0,-20,-20,-22.861142761551264,-0.014385701,0.08619987,0.01784306
45,0,0,0,-20,-21.17058435064293,-22.440105071320357,-0.05842805,0.17811646,-0.058098093
46,0,0,0,-40,-40,-22.19001872877768,-0.04934084,0.013712678,-0.098339446
47,0,0,0,-4.744027242429279,-40,-20,-0.040315185,0.016186533,0.00037910938
48,0,0,0,-20,-40,-25.420272528454987,-0.01742135,0.0354542,0.11160973
49,0,0,0,-40,-25.256773677964933,-35.822451660881455,0.10891384,-0.004575772,-0.02243826
50,0,0,0,-25.191866545868116,-20,-20,-0.050644994,0.12050623,0.0039164484
51,0,0,0,-39.19726221165454,-20,-40,-0.06898137,-0.039292254,-0.045552727
52,0,0,0,-21.73333166160648,-20,-20,-0.009609679,0.14590885,0.010067237
53,0,0,0,-40,-24.852688532899236,-40,-0.017706849,0.08638726,0.028863024
54,0,0,0,-40,-39.032793736865074,-40,-0.0523078,-7.781744e-05,-0.086860836
55,0,0,0,-3.724778473405342,-40,-40,0.03741733,0.029484525,-0.10699644
56,0,2,2,-22.343090736140745,-20,-20,0.030981146,0.00692136,0.0010525364
57,0,0,0,-15.406391624544835,-24.702487102128067,-40,-0.010139451,0.004514717,0.19301696
58,0,2,2,-40,-40,-20,0.03802878,0.005505787,0.10798062
59,0,0,0,0,-40,-40,-0.03146637,0.005404246,0.126175
60,0,1,1,-40,-40,-38.67293032129116,0.06760539,-0.0028300064,0.015425634
61,0,0,0,-7.652464811973781,-5.325981359374033,-40,0.02695599,0.016979914,-0.041180793
62,0,0,0,-21.043176855818004,-20,-40,-0.0046606753,0.025515575,0.05563199
63,0,1,1,-40,-40,-32.74803971833642,0.00018852353,-0.05700786,0.034445092
64,0,4,4,-40,-40,-5.596757164154679,-0.068262555,0.04600296,-0.056695852
65,0,0,0,-20.217842717467004,-28.673438474807764,-26.49793474773423,-0.01785462,-0.023994677,0.06582763
66,0,0,0,-40,-40,-40,-0.043379087,0.09519142,-0.0018085468
67,0,0,0,-40,-40,-40,0.032310404,-0.016495936,0.012092025
68,0,0,0,-40,-40,-20,-0.0030522125,-0.02649905,0.031395093
69,0,0,0,-40,-40,-40,0.035729587,0.018864857,-0.009520311
70,0,1,1,-40,-40,-25.827966701765348,-0.038819343,0.027673464,0.056639194
71,0,0,0,-36.70776347041046,-40,-40,-0.029287105,0.042378746,-0.09608579
72,0,0,0,-40,-40,-20,-0.052176014,0.06821611,0.024866804
73,0,0,0,-25.46354862754643,-20,-40,-0.021909237,-0.04484206,0.074270606
74,0,0,0,-40,-25.01270868163464,-24.940810592525107,0.032376293,-0.008448836,0.04709019
