episode,collision_0,collision_1,collision_2,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2
1,1,1,0,-4.195236358661423,-8.329833101253785,-28.706422006933742,0.041304894,-0.10326085,-0.23421246
2,1,1,0,-10.28284464102374,0,-26.243832707406757,-0.06296693,0.05056819,0.14560884
3,0,0,0,0,-0.06579012626841463,-20.35231751930187,0.0,-0.025500335,0.025985474
4,2,0,2,-4.861786424597362,0,-20,0.025498504,-0.13460752,-0.1189039
5,1,1,0,0,-0.4433605786344841,-22.60621909543765,0.05085051,-0.085952014,0.10498812
6,0,0,0,-29.198689246185694,-20,-15.097367908883397,0.030535832,0.018108167,0.026845131
7,0,0,0,0,-20,-30.79472406930848,0.0,-0.083020575,-0.1407252
8,2,0,2,-3.6953111681605746,-1.040933126083592,-6.058367617997239,0.027930807,-0.08241213,0.057899266
9,0,0,0,-24.741317472221134,-1.6459881134898668,-20,-0.0033337974,-0.04510479,0.015830526
10,0,0,0,-15.563480999847506,0,-20,0.041497126,0.06702487,0.053745076
11,2,2,0,-3.5777684467145243,0,-31.418785299117474,-0.008502817,0.076866634,-0.040618725
12,0,0,0,0,0,-20,7.226944e-05,0.047350373,-0.03332903
13,1,1,0,-13.460539617320473,-1.7448389748147086,-22.008085671197556,-0.006778011,-0.051456615,0.018151797
14,0,0,0,-28.935476946745908,-15.073118917812627,-20,0.02335265,0.030756922,0.027148867
15,0,0,0,-2.8089500048936804,0,-40,-0.062272977,-0.18542786,0.073004395
16,0,0,0,-3.180551198020561,0,-40,0.013664617,0.028004656,0.1792381
17,0,0,0,-1.0397894932962815,0,-20,-0.019037085,-0.051331412,-0.034582824
18,2,0,2,-6.66444653350095,0,-20,-0.09853092,-0.02153748,-0.18175212
19,0,0,0,-4.352870420357387,-9.515928818891291,-7.020579117794363,-0.02144724,0.0048621367,-0.087576635
20,0,0,0,-0.6132902342716284,-2.0773460564639445,-29.575555825324173,-0.038192168,-0.1287425,-0.16833769
21,0,0,0,0,-15.54485466534351,-23.73345809073282,0.0,-0.007564573,-0.039864473
22,2,2,0,0,0,-20,-0.04633365,-0.072762184,-0.06548719
23,0,0,0,-6.003103118252167,0,-20,-0.02050272,0.0,-0.016606998
24,3,3,0,-2.8000099269261716,0,-20,-0.021765914,-0.048421554,0.060602482
25,0,0,0,-4.726133910502686,0,-14.418647866841429,0.022212,-0.009106856,-0.08038537
26,0,0,0,-2.1282258800897016,-20,-9.695883371201633,-0.081521,0.055925347,0.08811035
27,0,0,0,0,0,-10.0864445068589,0.0,0.08262214,0.048782263
28,4,0,4,0,0,0,0.014148879,0.0,0.061076585
29,2,2,0,-3.9066781668206,-20,-37.13088681422881,0.048852608,0.029790564,0.053820673
30,0,0,0,0,-2.5729264521421222,-20,-0.0071761627,0.054508194,0.032899942
31,1,1,0,0,0,-10.162286334429355,-0.040574998,0.06300976,0.038469113
32,0,0,0,-3.1473661214921655,-20,-20,0.02206459,-0.034192532,-0.009250641
33,2,2,0,0,0,0,-0.008554526,0.037642166,0.014638882
34,0,0,0,-3.353770451024949,0,-20,-0.020967025,-0.019756518,-0.017722234
35,1,1,0,-3.356936831739998,0,-29.666610396823568,-0.024635006,0.022242313,-0.07073822
36,0,0,0,-2.3785325015546284,-20,-40,-0.006463051,-0.08325417,-0.008722453
37,0,0,0,0,-15.73770559779078,-40,0.07939332,-0.08788613,-0.07456528
38,0,0,0,-3.010207846256664,0,-20,0.019125147,0.0,-0.0644928
39,0,0,0,-12.53280393387916,-2.4574758940934474,-20,-0.0031130696,0.077612974,-0.11345568
40,1,0,1,-0.22997399974074462,-3.406797516085262,-3.5028462425570237,0.112645194,-0.019186316,-0.007813912
41,0,0,0,0,0,0,0.0014097309,0.0,-0.102274865
42,0,0,0,0,-4.211825629513158,-26.255522944548044,0.0,-0.11417574,-0.05021734
43,3,3,0,0,0,-40,0.0327869,-0.09334259,0.004440155
44,0,0,0,0,0,-20,0.01732966,-0.15989332,0.05098809
45,0,0,0,0,-2.388277205069557,-3.824532615707259,-0.036016837,-0.1096891,-0.10204771
46,0,0,0,-20,-2.15922672427645,-20,-0.025644245,-0.09538922,0.061612092
47,0,0,0,-2.01947354654473,-3.546286394849535,-26.050689651289648,0.08159614,-0.07559317,0.031035613
48,0,0,0,0,0,-20,0.0,-0.051361907,-0.14537084
49,0,0,0,-1.1801737001969426,0,-20,-0.026734676,-0.046831705,-0.06055728
50,3,3,0,0,0,0,-0.015764924,-0.01716403,0.0
51,2,2,0,-2.374117094368371,-0.1984669500508418,0,-0.08709816,0.08775249,0.05280094
52,2,2,0,-4.294112408417554,-2.923667994486757,-20,-0.05239199,-0.027849073,0.119094945
53,2,2,0,0,0,-0.14917294811979787,0.01605199,-0.04024911,-0.0023640061
54,3,2,1,0,0,0,0.08394174,0.08349377,0.037873723
55,0,0,0,0,0,-22.33190911164454,0.0,-0.102424204,-0.0065905764
