episode,epsilon,collision_0,collision_1,collision_2,collision_3,reward_0,reward_1,reward_2,reward_3,loss_0,loss_1,loss_2,loss_3
0,0.999,2,0,2,0,-0.7410928508252312,-5.125153267940199,-3.259088337542194,-20.200699031708403,0.0004672489012591541,0.0014237930299714208,109.57340240478516,4.967002496414352e-06
1,0.998001,3,3,0,0,0,0,-2.429905453628922,-9.910104060715977,6.48902787361294e-05,0.000784752715844661,1.4209047555923462,95.68427276611328
2,0.997002999,0,0,0,0,-24.323178007102555,0,-20,-4.3726023480101865,1.6305307149887085,0.024778826162219048,0.0922447144985199,0.023018741980195045
3,0.996005996001,0,0,0,0,0,-2.0197858482064257,-15.95197956806042,-9.69974736142028,0.006029403768479824,0.00732039287686348,12.685347557067871,0.029649071395397186
4,0.995009990004999,0,0,0,0,-2.273558063303161,-3.2723284829404653,-3.059099836156053,-1.5801908743500404,0.041274186223745346,0.0031799247954040766,0.0003398882981855422,4.615941524505615
5,0.994014980014994,0,0,0,0,-5.757528763154083,-9.843932945788382,-6.0769518499853294,-2.3647760853927227,0.009275643154978752,0.9707800149917603,0.4089176654815674,2.9553637504577637
6,0.993020965034979,0,0,0,0,0,-2.7988268976574373,-6.106077123941607,-5.052561039242419,4.157951831817627,0.047933951020240784,0.0050351545214653015,20.89185333251953
7,0.9920279440699441,0,0,0,0,-4.983706506245589,0,-5.515063599485021,-23.28524067860407,4.884922027587891,9.588321685791016,0.00345425633713603,2.917076587677002
8,0.9910359161258742,0,0,0,0,0,-20,0,-7.796181234001821,1.9775925466092303e-05,0.2990875244140625,0.00017839149222709239,6.212823867797852
9,0.9900448802097482,2,0,2,0,0,-3.066273448712092,-2.802774477625329,-2.0784404339780207,0.18783186376094818,0.2189958244562149,0.04728693515062332,0.0009958494920283556
10,0.9890548353295385,0,0,0,0,0,0,-2.761083951531028,-3.4361303253324076,0.12989921867847443,47.82788848876953,0.15981893241405487,92.38362121582031
11,0.988065780494209,2,2,0,0,-14.552550932638473,-1.659728899585664,-4.889045883166037,-20,0.00037941717891953886,0.05804500728845596,5.462462425231934,0.686405599117279
12,0.9870777147137147,1,0,1,0,0,-20,-23.683228079984936,0,0.12516944110393524,0.33667099475860596,0.07860566675662994,13.865447998046875
13,0.986090636999001,2,2,0,0,-3.846379288863736,0,-3.642471695883806,-4.861611950195405,0.005228585563600063,10.370170593261719,2.6535089015960693,56.12159729003906
14,0.9851045463620021,0,0,0,0,-20,-22.23896546864968,-20,-3.0796548882613,1.061482548713684,6.230112552642822,0.0007147000869736075,0.01721133291721344
15,0.98411944181564,0,0,0,0,0,-4.338005772215163,0,-3.349930970256646,0.0160636268556118,0.2574881911277771,0.037360239773988724,0.16274882853031158
16,0.9831353223738244,0,0,0,0,0,0,0,-5.7699100846251605,0.050063926726579666,0.8555525541305542,7.715312480926514,0.035697080194950104
17,0.9821521870514506,3,3,0,0,-5.02147676175149,-2.516468536832463,0,-6.488311742534048,0.42648839950561523,92.72237396240234,0.20618094503879547,15.238887786865234
18,0.9811700348643991,0,0,0,0,-20,0,-6.899069864173891,-2.3875786389580274,0.5398863554000854,1.9634758234024048,0.0028422523755580187,3.1710290908813477
19,0.9801888648295347,0,0,0,0,0,-2.1598669191842794,0,0,0.08995839953422546,0.26183071732521057,0.40212297439575195,21.3536434173584
20,0.9792086759647052,0,0,0,0,-3.324704805667432,-2.297587580224913,-3.1099541306938465,-20,0.6698053479194641,0.01918230950832367,0.023105289787054062,20.963228225708008
21,0.9782294672887405,1,0,0,1,-8.530558603353857,-2.123326443392443,-15.903234666648254,-1.5129931731682822,0.11952206492424011,2.023723602294922,1.2713111639022827,0.20446926355361938
22,0.9772512378214517,2,2,0,0,-4.758500494476628,-20,0,-20,0.04288114234805107,0.34606069326400757,0.22251051664352417,2.5800843238830566
23,0.9762739865836303,2,0,2,0,0,-12.539157125885524,-20.850478994325023,-15.816597337274086,0.3411661386489868,44.32544708251953,3.456037759780884,3.4626893997192383
24,0.9752977125970467,0,0,0,0,-20,-21.354213592239837,-6.56784779257588,0,0.5862581133842468,1.8759068250656128,0.4781876802444458,1.4438015222549438
25,0.9743224148844496,2,0,0,2,-2.2773611803317264,-20,-20,-20,0.11247044056653976,63.06978225708008,0.17706438899040222,12.637491226196289
26,0.9733480924695651,0,0,0,0,0,0,-8.769770289635314,-2.5059638063162044,3.117499828338623,5.870209693908691,4.330169200897217,0.032076310366392136
27,0.9723747443770956,2,2,0,0,-2.326836694438893,-12.763406843856554,-10.24323227308398,-3.0556959408335125,0.08684676885604858,2.044478178024292,0.7218660712242126,0.18262642621994019
28,0.9714023696327185,0,0,0,0,-3.0903671796747663,-2.0984209572003074,-20,-20,0.044467829167842865,16.191795349121094,0.96125727891922,0.255093514919281
29,0.9704309672630859,0,0,0,0,-2.068010691621931,0,0,-10.722031708590592,0.21503719687461853,3.251861333847046,12.89818286895752,2.000425100326538
30,0.9694605362958227,1,1,0,0,-2.2435204354646707,0,-15.860186528336842,0,0.10189300030469894,9.102157592773438,4.481481552124023,6.3507866859436035
