episode,epsilon,collision_0,collision_1,collision_2,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2
0,0.999,0,0,0,-3.637768899118285,-1.7173119485600963,-7.128838182387872,5.079436779022217,1.4392971992492676,0.0036218436434865
1,0.998001,0,0,0,-4.172788246121038,-9.179914147371512,-8.231642771487307,6.825294494628906,89.42820739746094,0.0020262515172362328
2,0.997002999,0,0,0,-3.0308753065528298,-20,-1.0851985043878543,5.008321285247803,0.20994310081005096,28.334192276000977
3,0.996005996001,1,0,1,0,0,0,1.5125170946121216,0.13773329555988312,0.0011841029627248645
4,0.995009990004999,3,2,1,-1.2909601925455405,-3.2353062011195934,-6.723858308270178,0.7446414828300476,2.4006621837615967,0.0377177894115448
5,0.994014980014994,7,0,7,0,-2.4510989410010766,-2.4048796490293682,0.4255910813808441,0.0688273161649704,0.03686213120818138
6,0.993020965034979,2,2,0,-2.9095345246386,-2.7796560454319774,0,0.010675589554011822,84.20667266845703,0.16094063222408295
7,0.9920279440699441,1,0,1,0,0,-7.227685034401222,0.1108214482665062,0.11796499043703079,0.0823022648692131
8,0.9910359161258742,0,0,0,-6.373148701467436,-6.724099100726062,-7.771914638875055,1.1341885328292847,89.06538391113281,0.005072147585451603
9,0.9900448802097482,0,0,0,-3.0131549999788296,-20,-40,0.054022710770368576,0.8988134264945984,0.008604052476584911
10,0.9890548353295385,0,0,0,-3.3068086547379343,-20,0,0.045291461050510406,6.177107334136963,0.1202050969004631
11,0.988065780494209,2,0,2,0,-5.549494767701594,-8.512619513171973,0.4850769639015198,0.06363353133201599,1.378023624420166
12,0.9870777147137147,0,0,0,-6.033593362559662,-16.60640686772723,-22.30125855097242,8.045466423034668,0.44556400179862976,0.016608016565442085
13,0.986090636999001,0,0,0,0,0,-27.73486356897714,1.305253267288208,70.0179672241211,1.0920692682266235
14,0.9851045463620021,1,1,0,0,-3.5451702270845002,-19.24736466040348,0.2250668853521347,0.13031123578548431,0.48108020424842834
15,0.98411944181564,0,0,0,-2.3088844582786416,-11.856545592879266,0,0.02958734892308712,1.7178268432617188,0.012628993019461632
16,0.9831353223738244,0,0,0,0,-2.033622676397181,0,0.07071635127067566,1.4487171173095703,0.003963177092373371
17,0.9821521870514506,0,0,0,-9.534664252675235,-5.614141447193135,-8.454949796378271,0.01440849993377924,0.08135467767715454,0.11493129283189774
18,0.9811700348643991,2,0,2,-12.774149997892549,0,-6.277361338062925,0.08708810806274414,1.3232976198196411,0.15928581357002258
19,0.9801888648295347,1,1,0,-11.824796047844844,-8.125826471457989,-20,0.09317213296890259,0.2503526210784912,6.775418758392334
20,0.9792086759647052,2,0,2,-4.010759173915246,-22.33263931558662,0,0.2919919788837433,0.28331586718559265,0.0036286888644099236
21,0.9782294672887405,0,0,0,-2.005518877283015,-22.97825590959899,0,0.09053943306207657,99.35181427001953,49.59006881713867
22,0.9772512378214517,0,0,0,-6.3009265573585855,-2.133233324240689,-6.449092318075829,0.008089409209787846,0.3111124336719513,3.4329068660736084
23,0.9762739865836303,0,0,0,-3.1210675164236257,-3.093534206122794,-9.679056900640665,0.7053685784339905,4.941850185394287,1.07956862449646
24,0.9752977125970467,0,0,0,-7.562355078554383,-18.12172909383535,-2.6148620508816047,0.9007152915000916,67.39553833007812,0.35930556058883667
25,0.9743224148844496,0,0,0,0,-22.97236310481728,-14.457760865544556,2.3158373832702637,36.81394577026367,0.842491090297699
26,0.9733480924695651,0,0,0,-2.6688389793669702,-20,-15.85217327212309,0.6480690836906433,0.040122468024492264,0.21555282175540924
27,0.9723747443770956,0,0,0,0,0,-2.715065728386243,0.07825912535190582,3.268336772918701,0.00045285068335942924
28,0.9714023696327185,0,0,0,-2.3659936473186334,0,-15.008021727827185,0.004476433619856834,0.06690565496683121,21.861431121826172
29,0.9704309672630859,0,0,0,-28.641765231901523,-20,-20,0.3583589494228363,1.583116888999939,2.695845127105713
30,0.9694605362958227,1,0,1,0,-8.020100686435974,0,0.15483255684375763,0.4187982380390167,22.474008560180664
31,0.9684910757595269,2,2,0,-2.028286271046617,-4.409668986539691,-21.13481762046098,0.18588247895240784,4.8612213134765625,0.6918206214904785
32,0.9675225846837673,0,0,0,-4.7760623750987685,-25.305493609919385,-20,0.27462002635002136,0.8076183795928955,0.5621739029884338
33,0.9665550620990835,0,0,0,-3.774785427882061,-16.0227053776219,0,0.06652151048183441,5.063581466674805,3.601738929748535
34,0.9655885070369844,0,0,0,-3.224603874921749,-17.30529912611812,0,0.20829826593399048,1.7193995714187622,3.6184964179992676
35,0.9646229185299474,0,0,0,-11.938050769166214,-2.0860750687129244,-2.222075779677494,0.7989935278892517,0.4170251488685608,4.614648818969727
36,0.9636582956114175,0,0,0,0,-2.3145381473264943,-2.6856546442041513,0.5369149446487427,3.5338051319122314,0.01913623884320259
37,0.9626946373158061,0,0,0,0,-22.110503506595265,0,0.3568436801433563,0.10084326565265656,1.1679298877716064
38,0.9617319426784903,1,0,1,-3.2635048013460435,0,0,31.22562026977539,0.08356043696403503,68.68375396728516
39,0.9607702107358118,3,0,3,-13.675937015248572,-2.7385757371700454,-24.731887118999612,0.3761197328567505,1.6077046394348145,1.9861247539520264
40,0.959809440525076,2,2,0,-2.655375248329305,-2.420082990149343,-15.497346583219594,0.6813581585884094,73.63980102539062,1.2489540576934814
41,0.9588496310845509,0,0,0,-6.115076893678749,-20.782244221513295,-5.032275268827984,0.12538966536521912,8.678686141967773,0.12295329570770264
42,0.9578907814534664,0,0,0,0,0,-2.3523081881499475,0.1155158132314682,4.167850971221924,0.11100348085165024
43,0.9569328906720129,0,0,0,-14.862127762145581,-21.311136537143284,-2.2766735438394585,0.0221128948032856,1.5635396242141724,1.0367175340652466
44,0.9559759577813409,2,2,0,-0.8660624630141212,0,0,0.9064331650733948,3.777045965194702,0.017887521535158157
45,0.9550199818235596,0,0,0,0,-20,-2.3055796964302555,0.4889495372772217,7.902551174163818,2.608443021774292
46,0.9540649618417361,0,0,0,-8.294371024903182,-5.94412939782772,-2.088942846989389,0.1758827418088913,3.216282844543457,9.53831958770752
47,0.9531108968798944,0,0,0,-40,-16.94445178758624,0,0.16502395272254944,10.215897560119629,0.32467085123062134
48,0.9521577859830145,4,4,0,-2.3004707202068047,-18.173823148296748,-2.385399465991223,3.637390375137329,44.21156311035156,0.5813899636268616
49,0.9512056281970315,0,0,0,-5.589530214008414,-2.4032848949677916,-20,0.6851901412010193,3.8185577392578125,0.3051653802394867
50,0.9502544225688344,6,2,4,-2.1698678128981355,0,0,0.02151372842490673,17.844970703125,2.767184019088745
51,0.9493041681462656,0,0,0,-8.532831338399136,-20,0,0.0002743151562754065,0.20035718381404877,0.6612570285797119
52,0.9483548639781193,0,0,0,-4.698165700067362,0,-8.65685814806864,101.5157699584961,0.051978204399347305,0.0036947359330952168
53,0.9474065091141411,0,0,0,-5.950082860632346,0,0,2.1798579692840576,6.082386493682861,0.3562372326850891
54,0.946459102605027,0,0,0,-20,0,-2.0068517864650466,1.8091667890548706,0.42802202701568604,1.051856279373169
55,0.9455126435024219,0,0,0,-21.32630361700697,-0.26049020441172077,-1.2402108918060173,0.6064477562904358,7.168259620666504,44.79868698120117
56,0.9445671308589195,1,0,1,0,0,0,0.6188275218009949,6.486844539642334,33.679805755615234
57,0.9436225637280606,0,0,0,0,0,-3.028393436413622,0.14727866649627686,7.532322883605957,0.8475059866905212
58,0.9426789411643326,0,0,0,0,-10.123661166979996,-0.667838233098792,0.9079564809799194,1.2372386455535889,2.25703501701355
