episode,epsilon,collision_0,collision_1,collision_2,collision_3,collision_4,collision_5,collision_6,collision_7,collision_8,collision_9,collision_10,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,reward_6,reward_7,reward_8,reward_9,reward_10,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10
1,0.9995,3,0,0,0,0,0,3,0,0,0,0,-20,-18.929329150299324,0,-3.811098018405947,-2.317862721425468,-21.870983079380423,-1.1432933108438847,-32.50589587727582,0,-1.2228149149611944,-24.410286147207284,0.046182792633771896,0.15400250256061554,0.062491275370121,0.6359080672264099,1.0248010158538818,52.74130630493164,0.007508928421884775,81.87930297851562,0.0011004179250448942,0.04311727359890938,190.43154907226562
2,0.9990002500000001,0,0,0,0,0,0,0,0,0,0,0,0,-4.78894202580261,-2.6370229749456153,-13.40386630813261,0,-27.982211437707335,-20,-10.936756995764522,-6.959630505128352,-12.958529520295533,-22.293145004832194,5.381351947784424,0.2685674726963043,0.023007530719041824,1.7168089151382446,0.16840526461601257,4.362930774688721,1.5164886713027954,7.315671443939209,0.04578397795557976,27.12874412536621,164.1102294921875
3,0.9985007498750001,3,0,0,0,1,2,0,0,0,0,0,-7.605328813511379,0,-20,-2.0815347043472965,-27.00966305107766,-5.410599576311132,0,-10.37535815281803,-10.00143424798374,0,-20,0.3754340708255768,0.4872264862060547,0.1048806756734848,2.5871963500976562,15.052613258361816,94.0794677734375,21.98737144470215,0.08357768505811691,0.1260986626148224,20.00223159790039,83.44432830810547
4,0.9980014995000627,0,0,0,0,0,0,0,0,0,0,0,0,-2.1745804437438156,-1.8529171551310042,0,-10.305247371344544,-3.574672369469541,-13.49686221499034,-32.04430022642249,-24.261232324297463,-5.7361815212011,-5.088601096578805,0.031686779111623764,0.007375769317150116,59.470638275146484,0.26839131116867065,4.105644226074219,6.562022686004639,10.336701393127441,0.12330123782157898,13.95621109008789,0.13373935222625732,0.16535724699497223
5,0.9975024987503127,4,0,0,0,0,0,0,4,0,0,0,-1.3649284186059818,-20,-20,-7.3394738525937315,-0.7065601945109745,-4.589378634644639,0,0,-1.2669923728063792,-15.039048459875806,0,1.8912373781204224,0.06881328672170639,0.03274613246321678,0.5334349274635315,0.02956959418952465,0.6951805353164673,0.45042884349823,0.12585560977458954,0.0109420670196414,0.0006702450336888433,0.007264507468789816
6,0.9970037475009376,1,0,0,0,0,0,1,0,0,0,0,0,-4.883721134591616,-2.5341187974065416,-4.983052046240063,-3.445858450969213,-5.828547131141271,-6.972050615480962,-7.8092000435170865,0,0,-3.0642150581500656,1.2575984001159668,0.0019769754726439714,1.8971881866455078,1.1526570320129395,0.06339732557535172,2.5867652893066406,0.2795904874801636,12.117032051086426,0.6505669951438904,14.738816261291504,58.065162658691406
7,0.9965052456271871,5,0,0,0,0,5,0,0,0,0,0,-20,-20,-13.683229085089426,-20,0,-3.688850032602589,-7.996048081745825,-3.011300814710005,-20,0,-9.822793728291481,0.0008241405012086034,68.96929168701172,0.9618194103240967,3.0978457927703857,0.9055700302124023,0.8759433627128601,1.5704439878463745,20.381301879882812,0.04710523784160614,0.19123251736164093,128.8872528076172
8,0.9960069930043736,1,0,0,0,0,0,1,0,0,0,0,0,-25.329488010688628,-25.611190746387173,-8.441859214887314,-11.007164925872802,-2.164348425260158,-3.0050223930639817,-4.8917583873748205,-13.338862129670616,0,0,16.373165130615234,90.64363098144531,0.018684031441807747,0.23540231585502625,0.005717896856367588,0.13923272490501404,0.002942365827038884,3.6843323707580566,2.4612960815429688,0.3784979283809662,0.39020079374313354
9,0.9955089895078715,5,0,0,0,1,1,1,0,2,0,0,0,0,-5.811141917360294,-23.302478062527598,-12.57583084272077,-22.77213080753325,0,0,0,-10.978877070341346,-5.242596689901178,0.10373011976480484,1.854617953300476,0.4101361334323883,0.8727257251739502,1.7848385572433472,0.2166009098291397,0.4038071632385254,0.034899987280368805,0.13046783208847046,0.05601935461163521,0.04796219244599342
10,0.9950112350131176,4,1,0,3,0,0,0,0,0,0,0,0,0,-15.878797915280344,-8.319043349475377,-1.0577114872348203,-20,0,-4.317824004148868,0,0,-15.233879236527434,0.0340789295732975,0.12667396664619446,0.89683997631073,11.543463706970215,0.09702575951814651,85.6085205078125,0.8161159753799438,12.05203628540039,0.03619198128581047,0.03412517160177231,0.6122727394104004
